tur_type_id,tur_type_name,capacity,blade_number,rotor_diameter,rotor_swept_area,hub_height,power_regulation,cut_in_wind_speed,cut_out_wind_speed,rated_wind_speed,generator_type,rated_power,voltage,frequency,tower_type,tower_weight,pneumatic_brake,mechanical_brake,three_second_maximum
34,GW130/2500,2500,3,130,13273,90/120,变桨变速,2.5,20,9.3,永磁同步,2650,690,50,锥管式,300,全顺桨,碟式,52.5
35,En-2.2/131,2200,3,131,13478 ,90/100/125/140,变桨变速,3,20,9.5,双馈异步,2350,690,50,锥管式,326.71,全顺桨,碟式,52.5
36,MY2.0-121,2000,3,121,11499 ,100,变桨变速,3,22,12,双馈异步,2150,690,50,锥管式,256,全顺桨,碟式,52.5
37,MY3.0-121,3000,3,121,11385,85,变桨变速,2.5,20,10,永磁同步,3250,690,50,锥管式,267.3,全顺桨,碟式,52.5/59.5/70
38,Vestas100,2000,3,100,7850,85/95,变桨变速,3,22,12.5,双馈异步,2100,690,50,锥管式,,全顺桨,碟式,59.5/70
39,XE122-2200,2000,3,122,11727,90,变桨变速,3,20,9,永磁同步,2380,690,50,锥管式,220,全顺桨,碟式,70
40,MY2.5-135,2500,3,135,14314,90/100/120,变桨变速,2.5,20,8.8,双馈异步,2700,690,50,锥管式,220,全顺桨,碟式,52.5
41,MY3.0-135,3000,3,135,14314,85/90/100/120,变桨变速,2.5,20,9.3,双馈异步,3150,690,50,锥管式,,全顺桨,碟式,52.5
42,MY3.0-145,3000,3,145,16505,85/90/100/120,变桨变速,2.5,20,9,半直驱/永磁同步,3250,690,50,锥管式,263.641,全顺桨,碟式,52.5
43,MY3.2-145,3200,3,145,16505,85/90/100/120,变桨变速,2.5,20,9,半直驱/永磁同步,3450,690,50,锥管式,263.641,全顺桨,碟式,52.5
44,WD131,2200,3,129.1,13083.4 ,90,变桨变速,3,20,9,双馈异步,2260,690,50,锥管式,233.33,全顺桨,碟式,52.5
45,En3.0-141,3000,3,141,15615,,变桨变速,3,20,9.5,双馈异步,3150,690,50,锥管式,,全顺桨,,52.5
46,GW140-3.4,3400,3,140,15481,100/110/120/130/140,变桨变速,2.5,20,11,永磁同步,3630,690,50,锥管式,340,全顺桨,碟式,52.5
47,GW3.0-140,3000,3,136.8,14711,100/110/120/130/140,变桨变速,2.5,20,11,永磁同步,3630,690,50,钢制锥筒/混塔,340,全顺桨,碟式,52.5
48,WT2.5-130,2500,3,130,13273,90/100,变桨变速,3,20,9.3,双馈异步,2631,690,50,锥管式,252.125,全顺桨,碟式,52.5
55,GW2.5-140,2500,3,140,15394,90/100/120/140,变桨变速,2.5,20,8.5,永磁同步,2650,690,50,,,全顺桨,叶轮刹车（维护型）,52.5
56,En2.5-141,2500,3,141,15615,90/100/125/140,变桨变速,3,20,9,双馈异步,2600,690,50,,,全顺桨,液压刹车,52.5
57,MY2.5-145,2500,3,144.73,16505,90/100,变桨变速,3,20,8.2,半直驱,2650,690,50,,,全顺桨,机械制动,52.5
58,GW3.3-155,3300,3,155,18772,100,变桨变速,2.5,18,9.5,永磁同步,,690,50,,,全顺桨,液压机械制动,52.5
